t,x,y,psi,v,
1705698568.883,-10150.5793,-32729.3399,-1.87548487,0.5706,
1705698569.551,-10150.5789,-32729.0017,1.86512926,0.6955,
1705698569.950,-10150.6694,-32729.0513,-1.79803693,1.1159,
1705698570.149,-10150.7422,-32729.3619,-2.04082114,0.7531,
1705698570.481,-10150.8236,-32729.3729,-1.88730715,0.3070,
1705698571.678,nan,nan,1.51920166,1.0693,
1705698572.177,-10150.9236,-32729.7167,-1.86111665,0.4625,
1705698573.675,-10151.0679,-32729.2839,-1.87871545,1.7267,
1705698573.943,-10151.0767,-32729.0952,-1.80341333,1.1923,
1705698574.143,-10151.1678,-32729.6055,-1.74966177,2.0815,
1705698574.443,-10151.2406,-32729.9937,-1.87910420,0.4253,
1705698575.241,-10151.3723,-32730.2988,-1.84462190,1.0080,
1705698575.441,-10151.4311,-32730.3707,-1.58127362,2.7146,
1705698575.573,-10151.4136,-32730.9365,-1.55444803,3.3225,
1705698575.840,-10151.4412,-32731.3026,-1.84431273,0.6426,
1705698576.240,-10151.4226,-32730.8477,1.54771790,0.9666,
1705698576.639,-10151.5860,-32731.3690,-1.93824280,1.0733,
1705698577.470,-10151.8577,-32731.5018,-2.47208569,0.4909,
1705698577.670,-10151.9210,-32731.5350,-2.78270378,0.3149,
1705698578.236,-10152.0205,-32731.4351,1.60774381,0.5442,
1705698578.767,-10152.1652,-32731.4238,-1.98116993,1.1670,
1705698579.035,-10152.2378,-32731.5347,-2.20359281,0.4612,
1705698579.266,-10152.3012,-32731.6122,-2.33566831,0.3016,
1705698580.433,-10152.4727,-32731.2238,1.57049587,1.0798,
