Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
35,2.625,2,1.85,0.0,-4.603,0,19.77,94.8,35,1708967374.897,2024/02/26,17-09-34.897
36,2.7,1,11.346,0.0,-3.83,0,20.11,102.6,36,1708967374.972,2024/02/26,17-09-34.972
36,2.7,2,1.85,0.0,-4.603,0,19.77,94.9,36,1708967374.972,2024/02/26,17-09-34.972
37,2.775,1,11.346,0.0,-3.83,0,20.11,102.5,37,1708967375.047,2024/02/26,17-09-35.047
37,2.775,2,1.85,0.0,-4.603,0,19.77,94.8,37,1708967375.047,2024/02/26,17-09-35.047
38,2.85,1,11.346,0.0,-3.83,0,20.11,102.5,38,1708967375.122,2024/02/26,17-09-35.122
38,2.85,2,1.85,0.0,-4.603,0,19.76,94.7,38,1708967375.122,2024/02/26,17-09-35.122
39,2.925,1,11.346,0.0,-3.83,0,20.11,102.5,39,1708967375.197,2024/02/26,17-09-35.197
39,2.925,2,1.85,0.0,-4.603,0,19.77,94.8,39,1708967375.197,2024/02/26,17-09-35.197
40,3.0,1,11.346,0.0,-3.83,0,20.11,102.5,40,1708967375.272,2024/02/26,17-09-35.272
40,3.0,2,1.85,0.0,-4.603,0,19.77,94.8,40,1708967375.272,2024/02/26,17-09-35.272
41,3.075,1,11.346,0.0,-3.83,0,20.11,102.5,41,1708967375.347,2024/02/26,17-09-35.347
41,3.075,2,1.85,0.0,-4.603,0,19.77,94.8,41,1708967375.347,2024/02/26,17-09-35.347
42,3.15,1,11.346,0.0,-3.83,0,20.11,102.5,42,1708967375.422,2024/02/26,17-09-35.422
42,3.15,2,1.85,0.0,-4.603,0,19.77,94.8,42,1708967375.422,2024/02/26,17-09-35.422
43,3.225,1,11.346,0.0,-3.83,0,20.11,102.5,43,1708967375.497,2024/02/26,17-09-35.497
43,3.225,2,1.85,0.0,-4.603,0,19.77,94.8,43,1708967375.497,2024/02/26,17-09-35.497
44,3.3,1,11.346,0.0,-3.83,0,20.11,102.5,44,1708967375.572,2024/02/26,17-09-35.572
44,3.3,2,1.85,0.0,-4.603,0,19.77,94.8,44,1708967375.572,2024/02/26,17-09-35.572
45,3.375,1,11.346,0.0,-3.83,0,20.11,102.5,45,1708967375.647,2024/02/26,17-09-35.647
45,3.375,2,1.85,0.0,-4.603,0,19.77,94.8,45,1708967375.647,2024/02/26,17-09-35.647
46,3.45,1,11.346,0.0,-3.83,0,20.11,102.5,46,1708967375.722,2024/02/26,17-09-35.722
46,3.45,2,1.85,0.0,-4.603,0,19.77,94.8,46,1708967375.722,2024/02/26,17-09-35.722
47,3.525,1,11.346,0.0,-3.83,0,20.11,102.5,47,1708967375.797,2024/02/26,17-09-35.797
47,3.525,2,1.85,0.0,-4.603,0,19.77,94.8,47,1708967375.797,2024/02/26,17-09-35.797
48,3.6,1,11.346,0.0,-3.83,0,20.11,102.5,48,1708967375.872,2024/02/26,17-09-35.872
48,3.6,2,1.85,0.0,-4.603,0,19.77,94.8,48,1708967375.872,2024/02/26,17-09-35.872
49,3.675,1,11.345,0.0,-3.79,0,20.11,102.5,49,1708967375.947,2024/02/26,17-09-35.947
49,3.675,2,1.85,0.0,-4.603,0,19.77,94.8,49,1708967375.947,2024/02/26,17-09-35.947
49,3.675,3,22.804,0.0,-2.553,0,17.72,59.2,49,1708967375.947,2024/02/26,17-09-35.947
50,3.75,1,11.345,0.0,-3.79,0,20.11,102.5,50,1708967376.022,2024/02/26,17-09-36.022
50,3.75,2,1.85,0.0,-4.603,0,19.77,94.8,50,1708967376.022,2024/02/26,17-09-36.022
51,3.825,1,11.346,0.0,-3.83,0,20.11,102.5,51,1708967376.097,2024/02/26,17-09-36.097
51,3.825,2,1.85,0.0,-4.603,0,19.77,94.9,51,1708967376.097,2024/02/26,17-09-36.097
52,3.9,1,11.346,0.0,-3.83,0,20.11,102.5,52,1708967376.172,2024/02/26,17-09-36.172
52,3.9,2,1.85,0.0,-4.603,0,19.77,94.8,52,1708967376.172,2024/02/26,17-09-36.172
53,3.975,1,11.346,0.0,-3.83,0,20.11,102.5,53,1708967376.247,2024/02/26,17-09-36.247
53,3.975,2,1.85,0.0,-4.603,0,19.77,94.8,53,1708967376.247,2024/02/26,17-09-36.247
54,4.05,1,11.346,0.0,-3.83,0,20.11,102.5,54,1708967376.322,2024/02/26,17-09-36.322
54,4.05,2,1.85,0.0,-4.603,0,19.77,94.8,54,1708967376.322,2024/02/26,17-09-36.322
55,4.125,1,11.346,0.0,-3.83,0,20.11,102.5,55,1708967376.397,2024/02/26,17-09-36.397
55,4.125,2,1.85,0.0,-4.603,0,19.77,94.8,55,1708967376.397,2024/02/26,17-09-36.397
56,4.2,1,11.346,0.0,-3.83,0,20.11,102.6,56,1708967376.472,2024/02/26,17-09-36.472
56,4.2,2,1.85,0.0,-4.603,0,19.77,94.8,56,1708967376.472,2024/02/26,17-09-36.472
57,4.275,1,11.346,0.0,-3.83,0,20.11,102.5,57,1708967376.547,2024/02/26,17-09-36.547
57,4.275,2,1.85,0.0,-4.603,0,19.77,94.8,57,1708967376.547,2024/02/26,17-09-36.547
58,4.35,1,11.345,0.0,-3.79,0,20.11,102.5,58,1708967376.622,2024/02/26,17-09-36.622
58,4.35,2,1.85,0.0,-4.603,0,19.77,94.8,58,1708967376.622,2024/02/26,17-09-36.622
59,4.425,1,11.345,0.0,-3.79,0,20.11,102.5,59,1708967376.697,2024/02/26,17-09-36.697
59,4.425,2,1.85,0.0,-4.603,0,19.76,94.7,59,1708967376.697,2024/02/26,17-09-36.697
60,4.5,1,11.346,0.0,-3.83,0,20.11,102.5,60,1708967376.772,2024/02/26,17-09-36.772
60,4.5,2,1.85,0.0,-4.603,0,19.76,94.7,60,1708967376.772,2024/02/26,17-09-36.772
61,4.575,1,11.345,0.0,-3.79,0,20.11,102.5,61,1708967376.847,2024/02/26,17-09-36.847
61,4.575,2,1.85,0.0,-4.603,0,19.77,94.8,61,1708967376.847,2024/02/26,17-09-36.847
62,4.65,1,11.346,0.0,-3.83,0,20.11,102.6,62,1708967376.922,2024/02/26,17-09-36.922
62,4.65,2,1.85,0.0,-4.603,0,19.76,94.7,62,1708967376.922,2024/02/26,17-09-36.922
63,4.725,1,11.346,0.0,-3.83,0,20.11,102.5,63,1708967376.997,2024/02/26,17-09-36.997
63,4.725,2,1.85,0.0,-4.603,0,19.77,94.8,63,1708967376.997,2024/02/26,17-09-36.997
64,4.8,1,11.346,0.0,-3.83,0,20.11,102.5,64,1708967377.072,2024/02/26,17-09-37.072
64,4.8,2,1.85,0.0,-4.603,0,19.77,94.8,64,1708967377.072,2024/02/26,17-09-37.072
65,4.875,1,11.346,0.0,-3.83,0,20.11,102.5,65,1708967377.147,2024/02/26,17-09-37.147
65,4.875,2,1.85,0.0,-4.603,0,19.77,94.8,65,1708967377.147,2024/02/26,17-09-37.147
66,4.95,1,11.345,0.0,-3.79,0,20.11,102.5,66,1708967377.222,2024/02/26,17-09-37.222
66,4.95,2,1.85,0.0,-4.603,0,19.77,94.8,66,1708967377.222,2024/02/26,17-09-37.222
67,5.025,1,11.346,0.0,-3.83,0,20.11,102.5,67,1708967377.297,2024/02/26,17-09-37.297
67,5.025,2,1.85,0.0,-4.603,0,19.77,94.8,67,1708967377.297,2024/02/26,17-09-37.297
67,5.025,3,1.26,0.0,-43.995,0,19.37,86.4,67,1708967377.297,2024/02/26,17-09-37.297
67,5.025,4,1.256,0.0,41.722,0,19.02,79.8,67,1708967377.297,2024/02/26,17-09-37.297
68,5.1,1,11.346,0.0,-3.83,0,20.11,102.5,68,1708967377.372,2024/02/26,17-09-37.372
68,5.1,2,1.85,0.0,-4.603,0,19.77,94.8,68,1708967377.372,2024/02/26,17-09-37.372
69,5.175,1,11.345,0.0,-3.79,0,20.11,102.5,69,1708967377.447,2024/02/26,17-09-37.447
69,5.175,2,1.85,0.0,-4.603,0,19.77,94.8,69,1708967377.447,2024/02/26,17-09-37.447
70,5.25,1,11.346,0.0,-3.83,0,20.11,102.5,70,1708967377.522,2024/02/26,17-09-37.522
70,5.25,2,1.85,0.0,-4.603,0,19.77,94.8,70,1708967377.522,2024/02/26,17-09-37.522
71,5.325,1,11.346,0.0,-3.83,0,20.11,102.5,71,1708967377.597,2024/02/26,17-09-37.597
71,5.325,2,1.85,0.0,-4.603,0,19.77,94.8,71,1708967377.597,2024/02/26,17-09-37.597
72,5.4,1,11.345,0.0,-3.79,0,20.11,102.5,72,1708967377.672,2024/02/26,17-09-37.672
72,5.4,2,1.85,0.0,-4.603,0,19.76,94.7,72,1708967377.672,2024/02/26,17-09-37.672
73,5.475,1,11.346,0.0,-3.83,0,20.11,102.5,73,1708967377.747,2024/02/26,17-09-37.747
73,5.475,2,1.85,0.0,-4.603,0,19.77,94.8,73,1708967377.747,2024/02/26,17-09-37.747
74,5.55,1,11.345,0.0,-3.79,0,20.11,102.6,74,1708967377.822,2024/02/26,17-09-37.822
74,5.55,2,1.85,0.0,-4.603,0,19.76,94.7,74,1708967377.822,2024/02/26,17-09-37.822
75,5.625,1,11.346,0.0,-3.83,0,20.11,102.5,75,1708967377.897,2024/02/26,17-09-37.897
75,5.625,2,1.85,0.0,-4.603,0,19.77,94.8,75,1708967377.897,2024/02/26,17-09-37.897
76,5.7,1,11.346,0.0,-3.83,0,20.11,102.5,76,1708967377.972,2024/02/26,17-09-37.972
76,5.7,2,1.85,0.0,-4.603,0,19.76,94.7,76,1708967377.972,2024/02/26,17-09-37.972
77,5.775,1,11.346,0.0,-3.83,0,20.11,102.5,77,1708967378.047,2024/02/26,17-09-38.047
77,5.775,2,1.85,0.0,-4.603,0,19.77,94.8,77,1708967378.047,2024/02/26,17-09-38.047
78,5.85,1,11.346,0.0,-3.83,0,20.11,102.6,78,1708967378.122,2024/02/26,17-09-38.122
78,5.85,2,1.85,0.0,-4.603,0,19.77,94.8,78,1708967378.122,2024/02/26,17-09-38.122
79,5.925,1,11.346,0.0,-3.83,0,20.11,102.5,79,1708967378.197,2024/02/26,17-09-38.197
79,5.925,2,1.85,0.0,-4.603,0,19.76,94.7,79,1708967378.197,2024/02/26,17-09-38.197
80,6.0,1,11.346,0.0,-3.83,0,20.11,102.5,80,1708967378.272,2024/02/26,17-09-38.272
80,6.0,2,1.85,0.0,-4.603,0,19.77,94.8,80,1708967378.272,2024/02/26,17-09-38.272
81,6.075,1,11.346,0.0,-3.83,0,20.11,102.5,81,1708967378.347,2024/02/26,17-09-38.347
81,6.075,2,1.85,0.0,-4.603,0,19.77,94.8,81,1708967378.347,2024/02/26,17-09-38.347
82,6.15,1,11.345,0.0,-3.79,0,20.11,102.5,82,1708967378.422,2024/02/26,17-09-38.422
82,6.15,2,1.85,0.0,-4.603,0,19.77,94.8,82,1708967378.422,2024/02/26,17-09-38.422
83,6.225,1,11.345,0.0,-3.79,0,20.11,102.5,83,1708967378.497,2024/02/26,17-09-38.497
83,6.225,2,1.85,0.0,-4.603,0,19.77,94.8,83,1708967378.497,2024/02/26,17-09-38.497
84,6.3,1,11.346,0.0,-3.83,0,20.11,102.5,84,1708967378.572,2024/02/26,17-09-38.572
84,6.3,2,1.85,0.0,-4.603,0,19.77,94.8,84,1708967378.572,2024/02/26,17-09-38.572
85,6.375,1,11.345,0.0,-3.79,0,20.11,102.5,85,1708967378.647,2024/02/26,17-09-38.647
85,6.375,2,1.85,0.0,-4.603,0,19.76,94.7,85,1708967378.647,2024/02/26,17-09-38.647
86,6.45,1,11.346,0.0,-3.83,0,20.11,102.5,86,1708967378.722,2024/02/26,17-09-38.722
86,6.45,2,1.85,0.0,-4.603,0,19.77,94.8,86,1708967378.722,2024/02/26,17-09-38.722
87,6.525,1,11.345,0.0,-3.79,0,20.11,102.5,87,1708967378.797,2024/02/26,17-09-38.797
87,6.525,2,1.85,0.0,-4.603,0,19.77,94.8,87,1708967378.797,2024/02/26,17-09-38.797
88,6.6,1,11.346,0.0,-3.83,0,20.11,102.5,88,1708967378.872,2024/02/26,17-09-38.872
88,6.6,2,1.85,0.0,-4.603,0,19.77,94.8,88,1708967378.872,2024/02/26,17-09-38.872
89,6.675,1,11.346,0.0,-3.83,0,20.11,102.5,89,1708967378.947,2024/02/26,17-09-38.947
89,6.675,2,1.85,0.0,-4.603,0,19.77,94.8,89,1708967378.947,2024/02/26,17-09-38.947
90,6.75,1,11.346,0.0,-3.83,0,20.11,102.5,90,1708967379.022,2024/02/26,17-09-39.022
90,6.75,2,1.85,0.0,-4.603,0,19.76,94.7,90,1708967379.022,2024/02/26,17-09-39.022
91,6.825,1,11.345,0.0,-3.79,0,20.11,102.5,91,1708967379.097,2024/02/26,17-09-39.097
91,6.825,2,1.85,0.0,-4.603,0,19.77,94.8,91,1708967379.097,2024/02/26,17-09-39.097
92,6.9,1,11.345,0.0,-3.79,0,20.11,102.5,92,1708967379.172,2024/02/26,17-09-39.172
92,6.9,2,1.85,0.0,-4.603,0,19.77,94.8,92,1708967379.172,2024/02/26,17-09-39.172
93,6.975,1,11.346,0.0,-3.83,0,20.11,102.5,93,1708967379.247,2024/02/26,17-09-39.247
93,6.975,2,1.85,0.0,-4.603,0,19.77,94.8,93,1708967379.247,2024/02/26,17-09-39.247
94,7.05,1,11.346,0.0,-3.83,0,20.11,102.5,94,1708967379.322,2024/02/26,17-09-39.322
94,7.05,2,1.85,0.0,-4.603,0,19.77,94.8,94,1708967379.322,2024/02/26,17-09-39.322
95,7.125,1,11.345,0.0,-3.79,0,20.11,102.5,95,1708967379.397,2024/02/26,17-09-39.397
95,7.125,2,1.85,0.0,-4.603,0,19.76,94.7,95,1708967379.397,2024/02/26,17-09-39.397
96,7.2,1,11.346,0.0,-3.83,0,20.11,102.6,96,1708967379.472,2024/02/26,17-09-39.472
96,7.2,2,1.85,0.0,-4.603,0,19.76,94.7,96,1708967379.472,2024/02/26,17-09-39.472
97,7.275,1,11.345,0.0,-3.79,0,20.11,102.5,97,1708967379.547,2024/02/26,17-09-39.547
97,7.275,2,1.85,0.0,-4.603,0,19.77,94.8,97,1708967379.547,2024/02/26,17-09-39.547
98,7.35,1,11.346,0.0,-3.83,0,20.11,102.5,98,1708967379.622,2024/02/26,17-09-39.622
98,7.35,2,1.85,0.0,-4.603,0,19.76,94.7,98,1708967379.622,2024/02/26,17-09-39.622
99,7.425,1,11.346,0.0,-3.83,0,20.11,102.5,99,1708967379.697,2024/02/26,17-09-39.697
99,7.425,2,1.85,0.0,-4.603,0,19.76,94.7,99,1708967379.697,2024/02/26,17-09-39.697
100,7.5,1,11.346,0.0,-3.83,0,20.11,102.5,100,1708967379.772,2024/02/26,17-09-39.772
100,7.5,2,1.85,0.0,-4.603,0,19.77,94.8,100,1708967379.772,2024/02/26,17-09-39.772
101,7.575,1,11.346,0.0,-3.83,0,20.11,102.6,101,1708967379.847,2024/02/26,17-09-39.847
101,7.575,2,1.85,0.0,-4.603,0,19.77,94.8,101,1708967379.847,2024/02/26,17-09-39.847
102,7.65,1,11.345,0.0,-3.79,0,20.11,102.5,102,1708967379.922,2024/02/26,17-09-39.922
102,7.65,2,1.85,0.0,-4.603,0,19.77,94.8,102,1708967379.922,2024/02/26,17-09-39.922
103,7.725,1,11.346,0.0,-3.83,0,20.11,102.5,103,1708967379.997,2024/02/26,17-09-39.997
103,7.725,2,1.85,0.0,-4.603,0,19.77,94.8,103,1708967379.997,2024/02/26,17-09-39.997
104,7.8,1,11.345,0.0,-3.79,0,20.11,102.5,104,1708967380.072,2024/02/26,17-09-40.072
104,7.8,2,1.85,0.0,-4.603,0,19.77,94.8,104,1708967380.072,2024/02/26,17-09-40.072
105,7.875,1,11.346,0.0,-3.83,0,20.11,102.5,105,1708967380.147,2024/02/26,17-09-40.147
105,7.875,2,1.85,0.0,-4.603,0,19.77,94.8,105,1708967380.147,2024/02/26,17-09-40.147
