Nrep,Time[s],No in Nrep,Range[m],Velocity[m/s],Azimuth[deg],Elevation[deg],Amplitude[dB],amplitude,Data No,UNIXTIME,date,time(h-m-s)
27,2.025,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,27,1708923826.365,2024-02-26,14-3-46.365
27,2.025,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,27,1708923826.365,2024-02-26,14-3-46.365
28,2.1,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,28,1708923826.440,2024-02-26,14-3-46.440
28,2.1,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,28,1708923826.440,2024-02-26,14-3-46.440
29,2.175,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,29,1708923826.515,2024-02-26,14-3-46.515
29,2.175,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,29,1708923826.515,2024-02-26,14-3-46.515
30,2.25,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,30,1708923826.590,2024-02-26,14-3-46.590
30,2.25,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,30,1708923826.590,2024-02-26,14-3-46.590
31,2.3249999999999997,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,31,1708923826.665,2024-02-26,14-3-46.665
31,2.3249999999999997,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,31,1708923826.665,2024-02-26,14-3-46.665
32,2.4,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,32,1708923826.740,2024-02-26,14-3-46.740
32,2.4,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,32,1708923826.740,2024-02-26,14-3-46.740
33,2.475,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,33,1708923826.815,2024-02-26,14-3-46.815
33,2.475,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,33,1708923826.815,2024-02-26,14-3-46.815
34,2.55,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,34,1708923826.890,2024-02-26,14-3-46.890
34,2.55,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,34,1708923826.890,2024-02-26,14-3-46.890
35,2.625,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,35,1708923826.966,2024-02-26,14-3-46.966
35,2.625,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,35,1708923826.966,2024-02-26,14-3-46.966
36,2.6999999999999997,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,36,1708923827.041,2024-02-26,14-3-47.41
36,2.6999999999999997,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,36,1708923827.041,2024-02-26,14-3-47.41
37,2.775,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,37,1708923827.116,2024-02-26,14-3-47.116
37,2.775,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,37,1708923827.116,2024-02-26,14-3-47.116
38,2.85,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,38,1708923827.190,2024-02-26,14-3-47.190
38,2.85,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,38,1708923827.190,2024-02-26,14-3-47.190
39,2.925,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,39,1708923827.266,2024-02-26,14-3-47.266
39,2.925,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.976808E+01,9.480000E+01,39,1708923827.266,2024-02-26,14-3-47.266
40,3.0,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,40,1708923827.340,2024-02-26,14-3-47.340
40,3.0,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,40,1708923827.340,2024-02-26,14-3-47.340
41,3.0749999999999997,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,41,1708923827.415,2024-02-26,14-3-47.415
41,3.0749999999999997,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,41,1708923827.415,2024-02-26,14-3-47.415
42,3.15,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,42,1708923827.490,2024-02-26,14-3-47.490
42,3.15,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.976808E+01,9.480000E+01,42,1708923827.490,2024-02-26,14-3-47.490
43,3.225,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,43,1708923827.565,2024-02-26,14-3-47.565
43,3.225,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,43,1708923827.565,2024-02-26,14-3-47.565
44,3.3,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,44,1708923827.640,2024-02-26,14-3-47.640
44,3.3,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,44,1708923827.640,2024-02-26,14-3-47.640
45,3.375,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,45,1708923827.715,2024-02-26,14-3-47.715
45,3.375,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,45,1708923827.715,2024-02-26,14-3-47.715
46,3.4499999999999997,1,4.120736E+00,0.000000E+00,-3.790454E+00,0.000000E+00,2.011147E+01,1.026000E+02,46,1708923827.790,2024-02-26,14-3-47.790
46,3.4499999999999997,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977724E+01,9.500000E+01,46,1708923827.790,2024-02-26,14-3-47.790
47,3.525,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,47,1708923827.865,2024-02-26,14-3-47.865
47,3.525,1,7.398400E-01,0.000000E+00,-4.602868E+00,0.000000E+00,1.977266E+01,9.490000E+01,47,1708923827.865,2024-02-26,14-3-47.865
48,3.5999999999999996,1,4.142143E+00,0.000000E+00,-3.829821E+00,0.000000E+00,2.011147E+01,1.026000E+02,48,1708923827.940,2024-02-26,14-3-47.940
