X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32709.974053827264,-10122.51262483464,101.3,1725700273.095,-4.9296875,8.6484375,0.0
-32709.657361263224,-10121.500403765343,89.9,1725700273.17,-3.9375,8.2734375,0.0
-32714.941274331515,-10117.58261593101,99.1,1725700273.17,0.28125,13.3203125,0.0
-32723.737094371405,-10119.19897442074,86.2,1725700273.17,-0.8203125,22.1953125,0.0
-32706.19063299133,-10116.399309494049,85.2,1725700273.17,0.953125,4.515625,0.0
-32709.965710338405,-10122.520083866157,101.3,1725700273.17,-4.9375,8.640625,0.0
-32723.73663956136,-10119.206773670963,86.0,1725700273.245,-0.828125,22.1953125,0.0
-32714.93763585118,-10117.645009932812,98.8,1725700273.245,0.21875,13.3203125,0.0
-32709.631234652294,-10121.545834836568,89.6,1725700273.245,-3.984375,8.25,0.0
-32706.191087801373,-10116.391510243822,85.0,1725700273.245,0.9609375,4.515625,0.0
-32718.09149662743,-10116.43593854936,88.2,1725700273.245,1.609375,16.3984375,0.0
-32709.97441920871,-10122.504940175748,101.4,1725700273.245,-4.921875,8.6484375,0.0
-32718.0887641162,-10116.483041260455,87.9,1725700273.32,1.5625,16.3984375,0.0
-32706.197065285472,-10116.423245111257,84.8,1725700273.32,0.9296875,4.5234375,0.0
-32714.935335507103,-10117.684253953164,98.8,1725700273.32,0.1796875,13.3203125,0.0
-32709.570171475298,-10121.651987308398,89.5,1725700273.32,-4.09375,8.1953125,0.0
-32709.97384708621,-10122.512893674204,101.2,1725700273.32,-4.9296875,8.6484375,0.0
-32717.719860466583,-10113.55033132957,80.8,1725700273.32,4.46875,15.859375,0.0
-32723.722415922024,-10119.315921766154,86.4,1725700273.32,-0.9375,22.1875,0.0
-32710.94758295653,-10119.235912436394,92.3,1725700273.32,-1.6015625,9.4296875,0.0
-32718.08963582674,-10116.467229123677,87.7,1725700273.395,1.578125,16.3984375,0.0
-32709.973886962955,-10122.512784839668,101.2,1725700273.395,-4.9296875,8.6484375,0.0
-32717.725764409508,-10113.58177429907,81.6,1725700273.395,4.4375,15.8671875,0.0
-32723.732488036483,-10119.277093981813,86.1,1725700273.395,-0.8984375,22.1953125,0.0
-32714.936222732093,-10117.66848254419,98.8,1725700273.395,0.1953125,13.3203125,0.0
-32706.190591833507,-10116.399332457113,84.9,1725700273.395,0.953125,4.515625,0.0
-32706.19147832791,-10116.38372988568,84.9,1725700273.47,0.96875,4.515625,0.0
-32723.73428674124,-10119.24587760634,85.5,1725700273.47,-0.8671875,22.1953125,0.0
-32709.96606984539,-10122.512322613014,101.3,1725700273.47,-4.9296875,8.640625,0.0
-32709.70081581655,-10121.424721967802,90.0,1725700273.47,-3.859375,8.3125,0.0
-32718.08961268135,-10116.467214664215,88.2,1725700273.47,1.578125,16.3984375,0.0
-32714.938929732103,-10117.621675349064,98.9,1725700273.47,0.2421875,13.3203125,0.0
-32723.73519644027,-10119.230279110494,86.1,1725700273.545,-0.8515625,22.1953125,0.0
-32717.7261935956,-10113.573960909223,81.4,1725700273.545,4.4453125,15.8671875,0.0
-32709.973869093315,-10122.512777462533,101.2,1725700273.545,-4.9296875,8.6484375,0.0
-32706.19147832791,-10116.38372988568,85.1,1725700273.545,0.96875,4.515625,0.0
-32718.090522380386,-10116.45161616837,87.8,1725700273.545,1.59375,16.3984375,0.0
-32714.93756518355,-10117.645073092834,98.8,1725700273.545,0.21875,13.3203125,0.0
-32709.665525179204,-10121.49309580104,90.7,1725700273.545,-3.9296875,8.28125,0.0
-32717.726125201585,-10113.573766071111,81.7,1725700273.62,4.4453125,15.8671875,0.0
-32706.19053426095,-10116.39927246411,85.4,1725700273.62,0.953125,4.515625,0.0
