t,x,y,psi,v,covar,,,,,,,,,,,,,,,,,
1705159820,-10117.9483,-32705.0474,-1.25548413,0.8775,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159820,-10117.858,-32705.2028,-1.08122195,0.9725,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.156999826
1705159821,-10117.7857,-32705.3471,-1.08362836,0.9615,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.292999983
1705159821,-10117.6593,-32705.5581,-0.99884653,0.8072,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.205000162
1705159821,-10117.5689,-32705.6913,-0.68546128,0.8009,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.101999998
1705159821,-10117.4966,-32705.7357,-0.61496903,0.7631,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.197999954
1705159821,-10117.4062,-32705.8246,-0.74472201,0.5466,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.243000031
1705159822,-10117.3248,-32705.8913,-0.55196502,0.4688,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.200000048
1705159822,-10117.2344,-32705.9357,-0.37053423,0.4609,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.199999809
1705159822,-10117.153,-32705.958,-0.21077121,0.5358,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198000193
1705159822,-10117.0263,-32705.9804,-0.04557684,0.6307,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.860999823
1705159823,-10116.4651,-32705.7813,0.56601633,0.7451,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.239000082
1705159823,-10116.3112,-32705.7149,0.39585558,0.7207,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.198999882
1705159824,-10116.1754,-32705.6596,0.54573099,0.6162,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.401000023
1705159824,-10116.1027,-32705.4378,1.4311308,0.9,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.152000189
1705159824,-10116.0754,-32705.2825,1.3255622,0.8196,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.201999903
1705159824,-10116.03,-32705.1827,1.26811871,0.4126,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.243999958
1705159825,-10116.03,-32705.1161,1.5696576,0.1225,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,0.19900012
1705159825,nan,nan,1.5696576,0,25,0,0,0,0,25,0,0,0,0,0.121847072,0,0,0,0,2.25,,
