073810.90,-36465.05616448429,6476.193679213592,-1.8505125471854829
073811.00,-36465.057808778656,6476.187904764912,-1.848965929737459
073811.10,-36465.05947158882,6476.182098646188,-1.8519181564194207
073811.20,-36465.06116769458,6476.176272933497,-1.8509469441894428
073811.30,-36465.06280828974,6476.170501499593,-1.8500779835657133
073811.40,-36465.06447661683,6476.164734612089,-1.8506010139240594
073811.50,-36465.066124609686,6476.158960166091,-1.849707033204381
073811.60,-36465.06777442877,6476.153218913673,-1.8523333269796847
073811.70,-36465.06944643806,6476.1474746599315,-1.8516690976303911
073811.80,-36465.071088863,6476.1417303869475,-1.8500185764612291
073811.90,-36465.07273126386,6476.136017795162,-1.852519104651449
073812.00,-36465.07438287872,6476.130348968116,-1.8514993439733254
073812.10,-36465.0759900912,6476.124714809732,-1.8504844557757987
073812.20,-36465.07761022537,6476.119112341968,-1.8520212169360735
073812.30,-36465.079224805086,6476.113517416153,-1.8512231075508003
073812.40,-36465.080835694105,6476.107913437522,-1.8488338337414971
073812.50,-36465.08241141952,6476.102353186714,-1.8488127397247467
073812.60,-36465.08399450085,6476.096845747122,-1.8510426551764618
073812.70,-36465.08556089118,6476.0914107217495,-1.8521707902628721
073812.80,-36465.08712725602,6476.08600737757,-1.8522632261888234
073812.90,-36465.08866769109,6476.080665872803,-1.8507472328959895
073813.00,-36465.09017478242,6476.075407329,-1.8517455097019697
073813.10,-36465.091689236026,6476.070195566073,-1.8537844790805054
073813.20,-36465.09318700218,6476.065048666761,-1.852596133264845
073813.30,-36465.09465885414,6476.0599379583155,-1.8479349226075121
073813.40,-36465.09609372407,6476.054830240418,-1.8510546821840097
073813.50,-36465.097576611304,6476.04980101651,-1.8574505164768165
073813.60,-36465.09905023143,6476.04480045189,-1.8537559193307982
073813.70,-36465.10050912346,6476.039715384865,-1.8482517906563003
073813.80,-36465.1019402602,6476.034652928716,-1.8490739493985329
073813.90,-36465.10338059041,6476.029664412072,-1.851840739892602
073814.00,-36465.10482092132,6476.024674382078,-1.8523544715970155
073814.10,-36465.106244553455,6476.019762798952,-1.8521811747751686
073814.20,-36465.10764596138,6476.014900992634,-1.851952524885275
073814.30,-36465.109043647455,6476.01007086482,-1.8510125800734927
073814.40,-36465.11041912845,6476.005264862962,-1.851947702703725
073814.50,-36465.11179825482,6476.000532794264,-1.8526354097861741
073814.60,-36465.113153325794,6475.995821830395,-1.853426735206112
073814.70,-36465.11452872323,6475.991130497235,-1.8524129132518532
073814.80,-36465.1158708449,6475.986428576367,-1.850493528388003
073814.90,-36465.11721848704,6475.981765889031,-1.850714463034092
073815.00,-36465.118555042216,6475.977091123715,-1.850674571763008
073815.10,-36465.11988970743,6475.972472182661,-1.8517954821375944
073815.20,-36465.12121882031,6475.967862287694,-1.8526670712073894
073815.30,-36465.122553463574,6475.963273521397,-1.8518895132874325
073815.40,-36465.123854791425,6475.958733012792,-1.8516944615427158
073815.50,-36465.125150511,6475.954272465568,-1.853208711446274
073815.60,-36465.12644253279,6475.949814933123,-1.852523249767247
073815.70,-36465.127721586156,6475.945389074758,-1.8507804602500468
073815.80,-36465.12897472038,6475.94100846199,-1.8517013942129041
073815.90,-36465.13024819096,6475.936632392547,-1.8555885753807155
073816.00,-36465.13151791774,6475.932321196145,-1.8547624211971299
073816.10,-36465.132767310984,6475.92800093251,-1.8533761753012374
073816.20,-36465.13403150738,6475.923664081215,-1.8526581295206275
073816.30,-36465.13526979525,6475.9193588968765,-1.8521463879690279
073816.40,-36465.136511760364,6475.915082383562,-1.8527229396860314
073816.50,-36465.13773705857,6475.9108405591005,-1.8498550087133383
073816.60,-36465.13893830845,6475.906613804517,-1.8494621203086115
073816.70,-36465.1401487858,6475.90241119878,-1.8500161252792844
073816.80,-36465.14133519288,6475.8982538376795,-1.850565891625396
073816.90,-36465.14252897428,6475.894126659032,-1.8499467495331308
073817.00,-36465.143696858475,6475.89001455122,-1.8485155718394433
073817.10,-36465.144868427,6475.885920546349,-1.8515184207574047
073817.20,-36465.146067757894,6475.881791862995,-1.8530651412534722
073817.30,-36465.147228168644,6475.877783852726,-1.8551446448667637
073817.40,-36465.1483977941,6475.873819607192,-1.854342698500101
073817.50,-36465.14953412538,6475.869870422507,-1.851175507221594
073817.60,-36465.15065747691,6475.865972530097,-1.8503530779895885
073817.70,-36465.15175304482,6475.86214100197,-1.851802953204772
073817.80,-36465.15286153512,6475.858336638247,-1.850630527262483
073817.90,-36465.1539274684,6475.854574495138,-1.8476473374842763
073818.00,-36465.15498411474,6475.850866659867,-1.848113056013656
073818.10,-36465.15603706188,6475.847163348115,-1.8480327980701106
073818.20,-36465.15707331946,6475.843524902294,-1.850074887959288
073818.30,-36465.15810397867,6475.8399558566825,-1.8506619611617865
073818.40,-36465.1591105655,6475.836436581931,-1.8505813233350188
073818.50,-36465.16011156742,6475.832968602536,-1.8546827039200733
073818.60,-36465.16110695469,6475.829594167774,-1.8563949306177618
073818.70,-36465.16208568213,6475.8262453671405,-1.8539532509116265
073818.80,-36465.16304218679,6475.822943323535,-1.853278066140714
073818.90,-36465.16398014448,6475.81971821211,-1.852278968985325
073819.00,-36465.16489032493,6475.816551925883,-1.8463252520313225
073819.10,-36465.165770920314,6475.813384109379,-1.8461640132598105
073819.20,-36465.16665144206,6475.810318889368,-1.8517208941444903
073819.30,-36465.167533797816,6475.807274793036,-1.8530301698890668
073819.40,-36465.168397614405,6475.804297074626,-1.8511914283640394
073819.50,-36465.169233657296,6475.801372137249,-1.8533550709824858
073819.60,-36465.17007890285,6475.7985060519995,-1.8574833467152547
073819.70,-36465.17089819951,6475.795725952879,-1.8582164623291662
073819.80,-36465.17172119041,6475.792950375758,-1.8518080420485623
073819.90,-36465.172490533776,6475.790209465177,-1.8461180130719717
073820.00,-36465.17325614396,6475.787516833827,-1.8519239685856477
073820.10,-36465.174029108624,6475.784881539907,-1.8556778759236612
073820.20,-36465.17478725032,6475.782288484493,-1.8470079715900187
073820.30,-36465.17548248303,6475.7797542240905,-1.835105177609644
073820.40,-36465.17615736875,6475.777225983836,-1.847427612614424
073820.50,-36465.1768932133,6475.774785299418,-1.860108830370316
