013854.40,-170593.52924605054,47442.23132365283,-2.6599688652560665
013854.50,-170593.52927939003,47442.23131157298,-2.869320019841912
013854.60,-170593.52930529503,47442.23130711139,-2.754060589309127
013854.70,-170593.52933496717,47442.231288887895,-2.734555556536423
013854.80,-170593.52937199594,47442.23127835575,-2.754063239694029
013854.90,-170593.5293942499,47442.231264690476,-2.4549527410379013
013855.00,-170593.52941283863,47442.231244876886,-2.355132131558112
013855.10,-170593.52944442272,47442.23121441094,-2.502796505526504
013855.20,-170593.5294722226,47442.23120077393,-2.982526360517588
013855.30,-170593.52949067752,47442.23120699067,3.0187196746513023
013855.40,-170593.52951102238,47442.23120556551,2.7625669302063227
013855.50,-170593.5295257335,47442.23122095288,2.618853636093867
013855.60,-170593.5295405154,47442.231222559516,2.9993138661379026
013855.70,-170593.52955898587,47442.231225716176,2.835342804238416
013855.80,-170593.5295848137,47442.23123656653,2.5560826861566075
013855.90,-170593.52960320626,47442.231255037485,2.5962379143717107
013856.00,-170593.52963826153,47442.23126899504,2.8488917180610285
013856.10,-170593.52965489234,47442.231270613425,2.6235691270756005
013856.20,-170593.5296843471,47442.23129526107,2.806304851967121
013856.30,-170593.52970840957,47442.23128926117,3.1140765228920273
013856.40,-170593.529752739,47442.23129714342,2.6257873291499405
013856.50,-170593.5297710863,47442.23132479921,2.3864119735719274
013856.60,-170593.5297821789,47442.23132485579,3.1097805416309905
013856.70,-170593.529828387,47442.231326622685,2.4827189601578596
013856.80,-170593.52985583709,47442.231381889454,2.4016839467773172
013856.90,-170593.52986887065,47442.231363581115,-2.52931533313018
013857.00,-170593.52989479902,47442.23135452594,-3.0494825170389426
013857.10,-170593.52990031382,47442.23136067666,2.9476381122886206
013857.20,-170593.52991880907,47442.23135924208,-2.8856118538723883
013857.30,-170593.52995770163,47442.23134565698,2.881865880696894
013857.40,-170593.52998342674,47442.23137641287,3.044581865143224
013857.50,-170593.5299743317,47442.23134727536,-1.4297134163284406
013857.60,-170593.52997450376,47442.23131358675,-0.9793751600365342
013857.70,-170593.52995781915,47442.231322689055,2.027031415167308
013857.80,-170593.52998731215,47442.2313396854,-2.9758177866104343
013857.90,-170593.5300022258,47442.23131525936,-2.0069366082833215
013858.00,-170593.53000226474,47442.23130760339,-1.5759160261708962
013858.10,-170593.53000233555,47442.23129382264,-2.5013107933498167
013858.20,-170593.53002267898,47442.23129239515,3.014399428217547
013858.30,-170593.53005221946,47442.23130020197,2.9993828153873077
013858.40,-170593.5300559314,47442.231297156104,-1.8873098792658425
013858.50,-170593.53005973043,47442.23127726943,-1.740942209910432
013858.60,-170593.53006355354,47442.23125279151,-1.505001453332439
