060822.80,-32735.701550788403,-10122.05181877996,-3.1404532655516126
060822.90,-32735.701550788403,-10122.05181877996,0.0
060823.00,-32735.690456536795,-10122.051806139298,0.0011393880381806551
060823.10,-32735.690466846958,-10122.04275719724,1.5719357040147752
060823.20,-32735.690456536795,-10122.051806139298,-1.569656949575018
060823.30,-32735.690456536795,-10122.051806139298,0.0
060823.40,-32735.690466846958,-10122.04275719724,1.5719357040147752
060823.50,-32735.67936228519,-10122.051793498633,-0.6830670990215258
060823.60,-32735.67937259535,-10122.042744556586,1.5719357036141164
060823.70,-32735.67937259535,-10122.042744556586,0.0
060823.80,-32735.67937259535,-10122.042744556586,0.0
060823.90,-32735.67937259535,-10122.042744556586,0.0
060824.00,-32735.67937259535,-10122.042744556586,0.0
060824.10,-32735.67937259535,-10122.042744556586,0.0
060824.20,-32735.679382905513,-10122.033695614542,1.5719357040166075
060824.30,-32735.67937259535,-10122.042744556586,-1.5696569495731856
060824.40,-32735.67937259535,-10122.042744556586,0.0
060824.50,-32735.67937259535,-10122.042744556586,0.0
060824.60,-32735.67937259535,-10122.042744556586,0.0
060824.70,-32735.668278343746,-10122.042731915932,0.001139387218766199
060824.80,-32735.67937259535,-10122.042744556586,-3.140453266371027
060824.90,-32735.67937259535,-10122.042744556586,0.0
060825.00,-32735.67937259535,-10122.042744556586,0.0
060825.10,-32735.67937259535,-10122.042744556586,0.0
060825.20,-32735.668288654615,-10122.033682973899,0.6853458958862849
060825.30,-32735.67937259535,-10122.042744556586,-2.4562467577035085
060825.40,-32735.679382905513,-10122.033695614542,1.5719357040166075
060825.50,-32735.679382905513,-10122.033695614542,0.0
060825.60,-32735.679382905513,-10122.033695614542,0.0
060825.70,-32735.679382905513,-10122.033695614542,0.0
060825.80,-32735.679382905513,-10122.033695614542,0.0
060825.90,-32735.679382905513,-10122.033695614542,0.0
060826.00,-32735.679393215672,-10122.024646674798,1.5719357039040731
060826.10,-32735.679382905513,-10122.033695614542,-1.56965694968572
060826.20,-32735.668288654615,-10122.033682973899,0.0011393863075032278
060826.30,-32735.679382905513,-10122.033695614542,-3.14045326728229
060826.40,-32735.679393215672,-10122.024646674798,1.5719357039040731
060826.50,-32735.679393215672,-10122.024646674798,0.0
060826.60,-32735.679393215672,-10122.024646674798,0.0
060826.70,-32735.679393215672,-10122.024646674798,0.0
060826.80,-32735.679393215672,-10122.024646674798,0.0
060826.90,-32735.66829896407,-10122.024634034164,0.001139385415232425
060827.00,-32735.66829896407,-10122.024634034164,0.0
060827.10,-32735.679393215672,-10122.024646674798,-3.1404532681745607
060827.20,-32735.679393215672,-10122.024646674798,0.0
060827.30,-32735.679393215672,-10122.024646674798,0.0
060827.40,-32735.66829896407,-10122.024634034164,0.001139385415232425
060827.50,-32735.66829896407,-10122.024634034164,0.0
060827.60,-32735.668309274937,-10122.015585092131,1.5719357820124003
060827.70,-32735.679393215672,-10122.024646674798,-2.456246758785528
060827.80,-32735.668309274937,-10122.015585092131,0.6853458948042651
060827.90,-32735.66829896407,-10122.024634034164,-1.5696568715773929
060828.00,-32735.67940352654,-10122.015597732752,2.4585255846978464
060828.10,-32735.67940352654,-10122.015597732752,0.0
060828.20,-32735.668309274937,-10122.015585092131,0.0011393842675291143
060828.30,-32735.66829896407,-10122.024634034164,-1.5696568715773929
060828.40,-32735.668309274937,-10122.015585092131,1.5719357820124003
060828.50,-32735.668309274937,-10122.015585092131,0.0
060828.60,-32735.668309274937,-10122.015585092131,0.0
060828.70,-32735.668309274937,-10122.015585092131,0.0
060828.80,-32735.668309274937,-10122.015585092131,0.0
060828.90,-32735.668309274937,-10122.015585092131,0.0
060829.00,-32735.668319585096,-10122.006536147794,1.571935703325763
060829.10,-32735.668309274937,-10122.015585092131,-1.56965695026403
060829.20,-32735.668319585096,-10122.006536147794,1.571935703325763
060829.30,-32735.668319585096,-10122.006536147794,0.0
060829.40,-32735.668309274937,-10122.015585092131,-1.56965695026403
060829.50,-32735.668319585096,-10122.006536147794,1.571935703325763
060829.60,-32735.679413836704,-10122.006548788406,-3.1404532701424257
060829.70,-32735.668319585096,-10122.006536147794,0.001139383447367414
060829.80,-32735.668309274937,-10122.015585092131,-1.56965695026403
060829.90,-32735.668319585096,-10122.006536147794,1.571935703325763
060830.00,-32735.668319585096,-10122.006536147794,0.0
060830.10,-32735.668319585096,-10122.006536147794,0.0
060830.20,-32735.679424146863,-10121.997499846359,2.4585255523016536
