090940.60,-32701.56040884488,-10117.5696790754,2.9238726800520007
090940.70,-32701.560418096407,-10117.569674561626,2.827387111961754
090940.80,-32701.56042734298,-10117.569673064056,2.6711491938663596
090940.90,-32701.56043289602,-10117.569667035668,2.4585303304031094
090941.00,-32701.56044029795,-10117.569662522093,2.8275222827372324
090941.10,-32701.560451395537,-10117.56966102663,3.0075291024789466
090941.20,-32701.560462490997,-10117.569659528861,3.074764893281432
090941.30,-32701.560473585752,-10117.569659541496,2.3066766725677907
090941.40,-32701.56048841015,-10117.569630906735,1.8496729523840514
090941.50,-32701.56049214829,-10117.569594714229,1.760365207668653
090941.60,-32701.56050142956,-10117.569563052342,1.8693506630363987
090941.70,-32701.560512563257,-10117.569528378666,1.8379470109007352
090941.80,-32701.56051999847,-10117.569495206579,1.3819501299995531
090941.90,-32701.560497859242,-10117.569451444087,1.3889308829007274
090942.00,-32701.560505296577,-10117.5694152604,2.066659708684042
090942.10,-32701.560518241637,-10117.569413764739,2.9026503428590944
090942.20,-32701.560523792556,-10117.569410754853,1.298721786968411
090942.30,-32701.56050351071,-10117.569360964371,1.1681549635993145
090942.40,-32701.560481377146,-10117.569311167177,1.1428691159912892
090942.50,-32701.560457397525,-10117.56925986438,1.3472084528728514
090942.60,-32701.56046113921,-10117.569222166077,1.9139164138403775
090942.70,-32701.560474093472,-10117.569213129915,2.4973488708564138
090942.80,-32701.560485198137,-10117.569204093947,1.390048323778945
090942.90,-32701.560463067406,-10117.569152793256,1.337900170134765
090943.00,-32701.5604723161,-10117.569149785282,2.60736621343819
090943.10,-32701.560483421476,-10117.569140751615,2.3280822776563386
090943.20,-32701.56049082907,-10117.569130201035,2.4584235901553035
090943.30,-32701.560498226754,-10117.569128701358,2.724145382265741
090943.40,-32701.560511178894,-10117.569121175598,2.5386654561315067
090943.50,-32701.56052228356,-10117.569112139627,2.50463149820581
090943.60,-32701.560531535088,-10117.569106115454,2.333526791155634
090943.70,-32701.56053524278,-10117.56909857916,1.76718067159152
090943.80,-32701.56054083406,-10117.569059374866,1.9355023867164383
090943.90,-32701.56055193377,-10117.569054860895,1.3246588992680393
090944.00,-32701.560527947775,-10117.569008082402,1.0854404365308732
