042620.20,-32734.192303189346,-10123.241591322678,-2.9393024482870693
042620.30,-32734.192332752456,-10123.241609455965,-2.868808088140479
042620.40,-32734.19237897682,-10123.241612524853,-2.939309953788091
042620.50,-32734.192406698123,-10123.241624621307,-2.82956357066389
042620.60,-32734.19243997176,-10123.241632199763,-2.947806498058702
042620.70,-32734.192491735,-10123.241641309702,-2.951811990365876
042620.80,-32734.19252685965,-10123.241648890265,-2.806776996976656
042620.90,-32734.19256566721,-10123.241667031785,-2.8457940224542706
042621.00,-32734.19260633853,-10123.241673110564,-2.9751443632796115
042621.10,-32734.192647009142,-10123.241680697447,-2.867777688541813
042621.20,-32734.19267103408,-10123.241691281582,-2.80418289768186
042621.30,-32734.192711700445,-10123.241703392785,-2.930814046278738
042621.40,-32734.19275607096,-10123.24170947578,-3.0053200766335277
042621.50,-32734.192800440764,-10123.241715561073,-2.919808822137035
042621.60,-32734.192830013082,-10123.241726149226,-2.9166798190568812
042621.70,-32734.19287992885,-10123.241733746647,-2.911481087005922
042621.80,-32734.19292059167,-10123.241747368262,-2.8436092472588297
042621.90,-32734.192953866015,-10123.241756454825,-2.7966025132012393
042622.00,-32734.192996371356,-10123.241774600556,-2.913905765095203
042622.10,-32734.193038897934,-10123.241776157125,-2.982603496618641
042622.20,-32734.193072168742,-10123.241786754095,-2.908601057939077
042622.30,-32734.19310914299,-10123.24179282636,-2.9863304687983936
042622.40,-32734.193149815015,-10123.24179890744,-2.854818844435533
042622.50,-32734.193155354606,-10123.241806454289,-2.45705065207735
042622.60,-32734.19315166249,-10123.241800415351,3.026648525261409
042622.70,-32734.193181244013,-10123.241803465278,-3.005311254982103
042622.80,-32734.193218217555,-10123.241809542142,-2.993179624819617
042622.90,-32734.19322191675,-10123.241809546356,-3.0725903321058197
042623.00,-32734.19326259161,-10123.241812608923,-3.086132084190135
042623.10,-32734.19330511819,-10123.241814165493,-2.9987091084655773
042623.20,-32734.19333654152,-10123.241823247647,-3.0124069035132264
042623.30,-32734.193375370323,-10123.241823291894,-3.059040154643691
042623.40,-32734.193410495685,-10123.241829366654,-2.9336888303227786
042623.50,-32734.19344007225,-10123.241836940895,-2.9393061774887794
042623.60,-32734.193484439933,-10123.241844531996,-3.0725634130265225
042623.70,-32734.193528818945,-10123.241843076761,-3.1404531124240984
042623.80,-32734.19356949593,-10123.241844628921,-3.0187464888587714
042623.90,-32734.193602770272,-10123.241852207375,-3.080844989857575
042624.00,-32734.193645301813,-10123.241849239625,3.125030296991476
042624.10,-32734.193687827687,-10123.241850798495,-2.543491281488572
042624.20,-32734.193667472908,-10123.24186434597,0.0011392998231403147
042624.30,-32734.19368043071,-10123.241850790067,2.091615841533202
042624.40,-32734.193680441334,-10123.241841739127,0.2895822230714521
042624.50,-32734.1936600993,-10123.241844732163,-0.3143074611296447
042624.60,-32734.19365269666,-10123.241850758464,0.685414838772753
042624.70,-32734.193654558298,-10123.241840201526,1.2349638460172772
042624.80,-32734.193649009503,-10123.241840195202,-0.8841935070168928
042624.90,-32734.193650853438,-10123.241844721628,1.5719117056766743
042625.00,-32734.19364902296,-10123.241828130353,1.3459965860145944
042625.10,-32734.193645334384,-10123.241820585608,0.2666666730253144
042625.20,-32734.193643479124,-10123.241826615927,-0.6831710378762501
042625.30,-32734.19364348408,-10123.241822091608,0.5501077522937599
042625.40,-32734.193636087814,-10123.24182208318,-0.19969459258764236
042625.50,-32734.19363608569,-10123.241823588984,0.1804338510744581
042625.60,-32734.193619449223,-10123.241819048006,0.18030742353962534
042625.70,-32734.193619447808,-10123.241820556112,1.8379742665923873
042625.80,-32734.19362316329,-10123.241805479263,1.665896360556339
042625.90,-32734.19362131794,-10123.241800950536,1.0217070818057767
042626.00,-32734.193621316525,-10123.241802460947,1.96013477937904
042626.10,-32734.193625027758,-10123.241791908415,1.3703777117545106
042626.20,-32734.19361763928,-10123.241784359456,0.6854455576486458
042626.30,-32734.193613943626,-10123.241782844832,0.8286728011408494
042626.40,-32734.193612099694,-10123.241778318408,1.5718292661566273
042626.50,-32734.193613951415,-10123.241775304303,1.9599038096800265
042626.60,-32734.193617661233,-10123.241764754077,2.3924481193171343
042626.70,-32734.193626908513,-10123.241763254204,2.545679616293061
042626.80,-32734.19362876519,-10123.241757223886,2.75550052477814
042626.90,-32734.193638007513,-10123.241758742526,-3.140453100032669
042627.00,-32734.193641707418,-10123.241757238635,2.3154897773152885
042627.10,-32734.19364911643,-10123.24174669032,2.3153628184320483
042627.20,-32734.193652815626,-10123.241745184128,1.370314338580708
042627.30,-32734.193647276745,-10123.241737637278,0.8527147992410208
042627.40,-32734.193643583214,-10123.241734616851,0.8285149232509501
042627.50,-32734.19363619828,-10123.241725559785,1.1525855823794313
042627.60,-32734.193636206775,-10123.241718019257,1.9600005387534327
042627.70,-32734.19363990668,-10123.241716517665,1.5719119183197774
042627.80,-32734.193636220232,-10123.241705956707,1.0881303315756663
042627.90,-32734.193628835295,-10123.241695389235,1.274510660367684
042628.00,-32734.19363253449,-10123.241693883041,0.0
042628.10,-32734.193628835295,-10123.241695389235,0.22993784258865263
042628.20,-32734.193619595804,-10123.241690854382,1.5719963027474746
042628.30,-32734.193628851583,-10123.241681816278,2.5774265910646985
042628.40,-32734.193636249263,-10123.2416803166,2.0029350187116224
042628.50,-32734.19363441312,-10123.241669757752,1.3059070474182741
042628.60,-32734.193632565646,-10123.241666737129,2.457860116563107
042628.70,-32734.193638112316,-10123.24166674345,2.75619114417034
