X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32731.571421712404,-10158.481158880672,98.5,1721193689.3,-3.9765625,8.90625,0.0
-32731.56124822143,-10158.49078369621,98.4,1721193689.375,-3.96875,8.9140625,0.0
-32731.578181018027,-10158.478154210765,98.4,1721193689.826,-3.984375,8.90625,0.0
-32731.569789789777,-10158.488859717756,98.4,1721193690.05,-3.9765625,8.9140625,0.0
-32731.57964729301,-10158.479002214524,98.3,1721193690.125,-3.984375,8.90625,0.0
-32731.58024913909,-10158.479399378564,98.4,1721193690.2,-3.984375,8.90625,0.0
-32731.55012501271,-10158.49962879568,98.4,1721193690.29,-3.9609375,8.921875,0.0
-32731.56740690424,-10158.487334400426,98.4,1721193690.35,-3.9765625,8.9140625,0.0
-32731.561167017862,-10158.49041326406,98.4,1721193690.425,-3.96875,8.9140625,0.0
-32731.57771000614,-10158.477653550244,98.3,1721193690.5,-3.984375,8.90625,0.0
-32731.57974222612,-10158.478898189844,98.5,1721193690.725,-3.984375,8.90625,0.0
-32731.56171902289,-10158.490683858296,98.4,1721193690.875,-3.96875,8.9140625,0.0
-32731.57900054681,-10158.47839125017,98.5,1721193690.95,-3.984375,8.90625,0.0
-32731.55102656887,-10158.491030808733,98.4,1721193691.025,-3.9609375,8.9140625,0.0
-32731.55627282023,-10158.487295090268,98.4,1721193691.1,-3.96875,8.9140625,0.0
-32731.52861205324,-10158.346811478064,98.0,1721193691.55,-4.0546875,8.875,0.0
-32731.52861205324,-10158.346811478064,97.9,1721193691.625,-4.0546875,8.875,0.0
-32731.27870141756,-10156.312614382565,89.5,1721193692.676,-3.75,6.8203125,0.0
-32731.27870141756,-10156.312614382565,85.3,1721193692.75,-3.75,6.8203125,0.0
-32731.184778991003,-10155.699225667024,90.5,1721193687.725,-2.4453125,5.4765625,0.0
-32731.185963025266,-10155.69967146457,87.1,1721193690.2,-2.4453125,5.4765625,0.0
-32731.14003746337,-10155.733652526924,89.5,1721193688.025,-2.40625,5.5,0.0
-32731.142554892653,-10155.726222902516,90.1,1721193688.7,-2.40625,5.4921875,0.0
-32731.143603963686,-10155.726445625773,89.0,1721193690.125,-2.40625,5.4921875,0.0
-32731.140494720625,-10155.733346772528,84.9,1721193690.425,-2.40625,5.5,0.0
-32731.174387843614,-10155.708591280534,88.7,1721193686.825,-2.4375,5.484375,0.0
-32731.17492169941,-10155.709082958614,89.8,1721193687.65,-2.4375,5.484375,0.0
-32731.17486107882,-10155.709084765083,89.1,1721193687.8,-2.4375,5.484375,0.0
-32731.15800595135,-10155.721624095318,90.0,1721193689.0,-2.421875,5.4921875,0.0
-32731.168067127845,-10155.711385312132,87.8,1721193690.875,-2.4296875,5.484375,0.0
-32731.17215912778,-10155.70699090849,87.6,1721193691.1,-2.4375,5.484375,0.0
-32731.08935409134,-10156.061781396396,80.9,1721193691.775,-2.6875,6.0234375,0.0
-32731.08935409134,-10156.061781396396,81.6,1721193691.85,-2.6875,6.0234375,0.0
-32731.10767435471,-10155.750273673972,89.0,1721193686.975,-2.375,5.5078125,0.0
-32731.09060103488,-10155.762808264875,89.6,1721193687.425,-2.359375,5.515625,0.0
-32731.1154372169,-10155.748518277054,88.7,1721193688.115,-2.3828125,5.5078125,0.0
-32731.098500921973,-10155.760983408958,88.4,1721193688.175,-2.3671875,5.515625,0.0
-32731.12308975961,-10155.746050404556,89.8,1721193688.775,-2.390625,5.5078125,0.0
-32731.098073166973,-10155.760112258342,86.9,1721193690.5,-2.3671875,5.515625,0.0
