X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32725.52955655775,-10147.72793547072,95.6,1725699658.522,-0.3359375,4.0078125,0.0
-32725.47068999427,-10148.79677220256,89.2,1725699658.522,0.8515625,3.734375,0.0
-32719.99172408233,-10146.00694491794,97.3,1725699658.597,-4.0390625,10.8046875,0.0
-32726.073553289112,-10148.42614803734,89.0,1725699658.597,0.625,3.171875,0.0
-32725.52531897804,-10147.742974870414,95.2,1725699658.597,-0.3203125,4.0078125,0.0
-32718.784641204653,-10151.691382178342,101.9,1725699658.597,1.9921875,10.359375,0.0
-32725.887471712085,-10148.423197764676,92.1,1725699658.597,0.5625,3.3828125,0.0
-32726.748659581524,-10146.595247006808,98.1,1725699658.597,-1.2265625,2.9921875,0.0
-32719.05239639825,-10150.176016776772,109.0,1725699658.597,0.3671875,10.5390625,0.0
-32725.471645453847,-10148.768812193026,89.3,1725699658.597,0.8203125,3.7421875,0.0
-32718.780611495644,-10151.754821897255,102.0,1725699658.686,2.0625,10.34375,0.0
-32726.926058128425,-10146.57987575964,99.3,1725699658.686,-1.1875,2.796875,0.0
-32725.52955655775,-10147.72793547072,96.1,1725699658.686,-0.3359375,4.0078125,0.0
-32719.979966802774,-10146.024103107487,97.6,1725699658.686,-4.0234375,10.8125,0.0
-32719.05451518811,-10150.168497076924,109.0,1725699658.686,0.359375,10.5390625,0.0
-32719.0502776084,-10150.18353647662,109.0,1725699658.747,0.375,10.5390625,0.0
-32718.787923324788,-10151.70430278818,102.2,1725699658.747,2.0078125,10.3515625,0.0
-32725.546506876603,-10147.66777787194,96.5,1725699658.747,-0.3984375,4.0078125,0.0
-32725.473764243703,-10148.761292493178,87.5,1725699658.747,0.8125,3.7421875,0.0
-32726.937815407982,-10146.562717570088,99.6,1725699658.747,-1.203125,2.7890625,0.0
-32719.99172408233,-10146.00694491794,97.6,1725699658.747,-4.0390625,10.8046875,0.0
-32725.56885810544,-10147.613021183151,96.2,1725699658.822,-0.453125,4.0,0.0
-32725.480868202147,-10148.662373064884,90.3,1725699658.822,0.703125,3.765625,0.0
-32719.046040028683,-10150.198575876311,109.0,1725699658.822,0.390625,10.5390625,0.0
-32726.926058128425,-10146.57987575964,98.5,1725699658.822,-1.1875,2.796875,0.0
-32719.99384287219,-10145.999425218091,97.5,1725699658.822,-4.046875,10.8046875,0.0
-32719.043921238823,-10150.20609557616,108.9,1725699658.896,0.3984375,10.5390625,0.0
-32726.89078628975,-10146.631350328293,98.1,1725699658.896,-1.140625,2.8203125,0.0
-32725.69503376548,-10148.442806591556,93.4,1725699658.896,0.5234375,3.59375,0.0
-32725.59756570385,-10147.535705394825,97.0,1725699658.896,-0.53125,3.9921875,0.0
