X_cor,Y_cor,Amplitude,UnixTime,Xrange,Yrange,Velocity[m/s]
-32725.41726925097,-10149.929145157072,95.5,1721193701.481,0.359375,3.4140625,-0.3203125
-32725.399300996287,-10149.78718806138,96.2,1721193697.806,-0.1171875,4.421875,-0.3203125
-32725.40902255697,-10149.768432025534,91.5,1721193700.431,0.3515625,3.8125,-0.3203125
-32725.39872027008,-10149.783000963422,96.2,1721193702.532,0.6796875,3.1640625,-0.3203125
-32725.331268169688,-10150.13848455135,94.7,1721193693.531,-1.390625,5.2265625,-0.3203125
-32725.33749872132,-10150.12003938092,93.8,1721193695.481,-1.046875,4.90625,-0.3203125
-32725.37751151667,-10150.12007490124,89.8,1721193696.006,-0.890625,4.7265625,-0.3203125
-32725.36574658496,-10150.11132156801,88.5,1721193696.831,-0.6953125,4.5625,-0.3203125
-32725.37130681589,-10150.145269584991,94.1,1721193698.871,-0.21875,4.015625,-0.3203125
-32725.340460458967,-10150.146769263018,89.0,1721193699.006,-0.2109375,4.015625,-0.3203125
-32725.36811837216,-10149.875667560756,95.3,1721193700.281,0.21875,3.8203125,0.0
-32725.354554609046,-10149.903820479436,95.1,1721193700.281,0.1875,3.8203125,-0.3203125
-32725.33699610292,-10149.843386057835,92.0,1721193696.381,-0.546875,4.78125,-0.3203125
-32725.351659479256,-10149.838462786498,98.4,1721193697.881,-0.1640625,4.421875,-0.3203125
-32725.367596326567,-10149.826769476758,97.8,1721193699.456,0.15625,4.0234375,-0.3203125
-32725.34493354587,-10149.668984103935,95.3,1721193701.631,0.5625,3.5859375,-0.3203125
-32725.36753819446,-10149.665508261603,89.5,1721193704.031,1.1171875,2.828125,0.0
-32725.377254595274,-10149.621044310215,94.0,1721193697.281,-0.109375,4.6171875,-0.3203125
-32725.354361882582,-10149.626418863922,96.1,1721193700.131,0.40625,4.0,-0.3203125
-32725.327475992886,-10150.327022924084,91.2,1721193696.681,-0.9375,4.5234375,-0.3203125
-32725.3234902916,-10150.164541846249,91.9,1721193693.756,-1.40625,5.21875,-0.3203125
-32725.30205048713,-10150.08027528068,88.7,1721193695.706,-0.9609375,4.921875,-0.3203125
-32725.287247403925,-10150.059930500076,88.2,1721193697.131,-0.609375,4.578125,-0.3203125
-32725.325444842587,-10150.090473267825,86.6,1721193702.081,0.2890625,3.21875,0.0
-32725.294672676788,-10149.913205679588,101.0,1721193696.531,-0.6171875,4.7734375,-0.3203125
-32725.28746573425,-10149.942377483305,94.2,1721193699.606,0.046875,4.0234375,-0.3203125
-32725.306266809115,-10149.944344397274,96.4,1721193700.356,0.1484375,3.828125,0.0
-32725.3276044592,-10149.920140973947,95.1,1721193700.881,0.265625,3.625,-0.3203125
-32725.31066658563,-10149.816087925044,95.8,1721193697.431,-0.2578125,4.609375,-0.3203125
-32725.295064115584,-10149.81680313734,96.0,1721193698.121,-0.125,4.421875,-0.3203125
-32725.304199704125,-10149.738912407767,95.2,1721193692.706,-1.0,5.5234375,0.0
-32725.30075033126,-10149.7455610148,96.5,1721193695.856,-0.6171875,4.9765625,-0.3203125
-32725.28997248561,-10149.725570547414,91.5,1721193700.056,0.2890625,4.015625,-0.3203125
-32725.31352150092,-10149.708308471494,93.2,1721193703.056,0.8359375,3.125,-0.3203125
-32725.22959203758,-10149.86949534018,91.7,1721193694.431,-1.0625,5.3046875,0.0
-32725.263477189663,-10149.903455724096,96.6,1721193695.181,-0.9296875,5.125,-0.3203125
-32725.23131499248,-10149.865534882028,89.2,1721193697.506,-0.3125,4.609375,-0.3203125
-32725.2500545102,-10149.887076377474,93.4,1721193698.181,-0.1875,4.4140625,-0.3203125
-32725.25440927944,-10149.82881982804,96.1,1721193692.781,-1.1015625,5.5,0.0
-32725.276924169208,-10149.809706178408,93.0,1721193694.281,-1.0078125,5.3125,-0.3203125
-32725.265672247453,-10149.813301899248,98.8,1721193701.331,0.3515625,3.6171875,-0.3203125
-32725.24793886388,-10149.65193298461,91.0,1721193692.857,-0.9375,5.53125,-0.3203125
-32725.22862469932,-10149.620321062435,94.3,1721193694.731,-0.765625,5.3515625,-0.3203125
-32725.262757532026,-10149.369155983168,89.5,1721193694.956,-0.46875,5.3828125,-0.3203125
-32725.240043949387,-10149.389263206618,91.0,1721193699.231,0.46875,4.3984375,-0.3203125
