t,x,y,psi,v,
1706175535.556,47448.7128,-170590.5633,2.36214486,0.7462,
1706175535.755,47448.6112,-170590.4529,2.52463421,0.7688,
1706175536.005,47448.4178,-170590.3763,2.65094045,0.8252,
1706175536.109,47448.3441,-170590.3323,2.61128575,0.7453,
1706175536.355,47448.2243,-170590.2663,2.81651726,0.6563,
1706175536.556,47448.0772,-170590.2338,2.88778073,0.7643,
1706175536.753,47447.9299,-170590.1902,2.95276402,0.7316,
1706175536.953,47447.7921,-170590.1798,3.07137895,0.7371,
1706175537.153,47447.6358,-170590.1695,3.18498224,0.7372,
1706175537.552,47447.3605,-170590.2264,-2.81456822,0.7038,
1706175537.751,47447.2321,-170590.2825,-2.74194052,0.7232,
1706175537.951,47447.0946,-170590.3387,-2.69806295,0.7417,
1706175538.250,47446.9022,-170590.4506,-2.62005581,0.7722,
1706175538.450,47446.7648,-170590.5289,-2.51382260,1.0098,
1706175538.600,47446.6276,-170590.6405,-2.39521720,0.9793,
1706175538.799,47446.5363,-170590.7519,-2.23891474,0.6726,
1706175539.050,47446.4450,-170590.8744,-2.21110728,0.6972,
1706175539.448,47446.3086,-170591.1524,-1.83516661,0.8650,
1706175539.648,47446.2636,-170591.3301,-1.76988222,0.9062,
1706175539.848,47446.2369,-170591.5077,-1.71976916,0.8980,
1706175540.048,47446.2103,-170591.6854,-1.59157413,0.9299,
1706175540.198,47446.2202,-170591.8295,-1.48351491,0.8036,
1706175540.447,47446.2393,-170591.9625,-1.42851511,0.6130,
1706175540.647,47446.2583,-170592.0955,-1.38732955,0.6496,
1706175540.846,47446.2865,-170592.2174,-1.31887164,0.6593,
1706175541.046,47446.3239,-170592.3503,-1.15778471,0.6948,
1706175541.445,47446.4814,-170592.6046,-0.94508949,0.7521,
1706175541.645,47446.5739,-170592.7151,-0.68043601,0.9719,
1706175541.796,47446.7214,-170592.8142,-0.60225048,1.0379,
1706175541.995,47446.8597,-170592.9133,-0.66081546,0.7396,
1706175542.244,47446.9704,-170593.0126,-0.42597670,0.7218,
1706175542.643,47447.3109,-170593.1107,-0.28065283,0.8881,
1706175542.843,47447.4765,-170593.1542,-0.28803204,0.8637,
1706175543.043,47447.6421,-170593.2088,-0.27941325,0.7914,
1706175543.242,47447.7801,-170593.2414,-0.06262839,0.7946,
1706175543.492,47448.0097,-170593.2180,0.12647251,0.6542,
1706175543.643,47448.0831,-170593.2066,0.15998654,0.5825,
1706175543.842,47448.2208,-170593.1837,0.18814558,0.7731,
1706175544.092,47448.4319,-170593.1382,0.30574058,0.7513,
1706175544.543,47448.7069,-170593.0037,0.50161309,0.7604,
1706175544.740,47448.8443,-170592.9254,0.59159975,0.8063,
1706175544.940,47448.9724,-170592.8249,0.62611576,0.7625,
1706175545.140,47449.0914,-170592.7466,0.71323613,0.7273,
1706175545.339,47449.1919,-170592.6352,0.88367574,0.7561,
1706175545.540,47449.2832,-170592.5127,0.90886477,0.7067,
1706175545.738,47449.3654,-170592.4125,0.95684709,0.7251,
1706175545.890,47449.4292,-170592.3123,0.98603531,0.6741,
1706175546.138,47449.5022,-170592.2121,1.09848686,0.7415,
1706175546.288,47449.5567,-170592.0898,1.18511162,0.8073,
1706175546.737,47449.6105,-170591.8344,1.50073991,0.5623,
1706175546.936,47449.6191,-170591.7123,1.50073992,0.6118,
1706175547.137,47449.6276,-170591.5903,1.65622437,0.5840,
1706175547.336,47449.5995,-170591.4795,1.86757421,0.6328,
1706175547.539,47449.5529,-170591.3466,1.91735464,0.6168,
1706175547.986,47449.3770,-170591.0924,2.38396296,0.6040,
1706175548.135,47449.3217,-170591.0483,2.46898790,0.5761,
1706175548.334,47449.2110,-170590.9601,2.41837020,0.7098,
1706175548.534,47449.1094,-170590.8608,2.44811089,0.6899,
1706175548.734,47448.9987,-170590.7837,2.43066976,0.7632,
1706175548.933,47448.8787,-170590.6623,2.40367649,0.7801,
1706175549.134,47448.7680,-170590.5742,2.63738917,0.7377,
1706175549.333,47448.6207,-170590.5194,2.77547358,0.7626,
1706175549.535,47448.4826,-170590.4647,2.80278314,0.8075,
1706175549.782,47448.2710,-170590.3992,2.84773539,0.8255,
1706175549.982,47448.1237,-170590.3556,2.93099117,0.7780,
1706175550.181,47447.9674,-170590.3342,3.03006046,0.7024,
1706175550.631,47447.6643,-170590.3468,-2.96060512,0.7952,
1706175550.830,47447.5083,-170590.3809,-2.95706836,0.8753,
1706175550.980,47447.3706,-170590.4038,-2.89509643,0.8043,
1706175551.230,47447.2331,-170590.4711,-2.75534904,0.6509,
1706175551.429,47447.1047,-170590.5161,-2.71645226,0.6810,
1706175551.629,47446.9856,-170590.5833,-2.57827374,0.7853,
1706175551.829,47446.8391,-170590.6838,-2.49210400,0.9229,
1706175551.978,47446.7293,-170590.7731,-2.43211099,0.8065,
1706175552.228,47446.6288,-170590.8735,-2.32240306,0.7869,
1706175552.376,47446.5374,-170590.9738,-2.22927575,0.7883,
1706175552.827,47446.4380,-170591.2960,-1.73407564,1.1007,
1706175552.976,47446.4113,-170591.4736,-1.73034297,1.0421,
1706175553.226,47446.3755,-170591.6623,-1.64744609,0.8001,
1706175553.426,47446.3764,-170591.8287,-1.56569603,0.9999,
1706175553.574,47446.3772,-170591.9951,-1.52498341,0.9525,
1706175553.775,47446.3963,-170592.1392,-1.47443058,0.7542,
